epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
74,496.613,1.3116,0.58413,0.90307,0.85721,0.52987,0.52093,0.2891,1.42928,0.76064,0.98395,0.00108475,0.00108475,0.00108475
75,503.61,1.33691,0.61078,0.90914,0.8941,0.51961,0.5198,0.28066,1.54409,0.76448,0.99843,0.00108004,0.00108004,0.00108004
76,509.316,1.31835,0.59334,0.90371,0.85207,0.50725,0.49586,0.2708,1.46564,0.75621,0.99489,0.00107532,0.00107532,0.00107532
77,516.103,1.28934,0.59284,0.90879,0.82044,0.51188,0.49244,0.26834,1.4641,0.77296,1.00289,0.00107061,0.00107061,0.00107061
78,522.124,1.28963,0.59506,0.91496,0.83975,0.52187,0.50573,0.26446,1.51065,0.77034,1.01409,0.00106589,0.00106589,0.00106589
79,527.791,1.31438,0.59907,0.91331,0.85042,0.51711,0.50426,0.25648,1.56073,0.76543,1.01856,0.00106118,0.00106118,0.00106118
80,535.245,1.30969,0.58694,0.90946,0.83652,0.53218,0.50293,0.24913,1.58609,0.7608,1.01669,0.00105646,0.00105646,0.00105646
81,543.401,1.28423,0.57322,0.9054,0.84269,0.54291,0.51859,0.26536,1.56248,0.76289,1.00766,0.00105174,0.00105174,0.00105174
82,550.318,1.28824,0.5789,0.90686,0.84766,0.5321,0.50306,0.28154,1.4527,0.74279,0.996,0.00104703,0.00104703,0.00104703
83,555.933,1.3326,0.59555,0.91592,0.82161,0.53485,0.49623,0.27234,1.45414,0.75142,0.98451,0.00104231,0.00104231,0.00104231
84,563.297,1.29422,0.58829,0.91294,0.8186,0.51917,0.48975,0.26229,1.50124,0.76687,0.99922,0.0010376,0.0010376,0.0010376
85,568.881,1.2864,0.57825,0.90837,0.84082,0.53003,0.50566,0.26725,1.48741,0.75592,1.00393,0.00103288,0.00103288,0.00103288
86,575.403,1.30176,0.57471,0.90519,0.85974,0.52873,0.5076,0.283,1.46271,0.74017,1.00208,0.00102817,0.00102817,0.00102817
87,581.572,1.30774,0.59269,0.91225,0.86964,0.52915,0.51662,0.28491,1.50513,0.73343,0.99403,0.00102345,0.00102345,0.00102345
88,587.634,1.31021,0.57868,0.9032,0.85851,0.5559,0.53554,0.28991,1.5021,0.72345,0.98834,0.00101873,0.00101873,0.00101873
89,594.883,1.31082,0.57645,0.903,0.86714,0.56313,0.54294,0.29963,1.45207,0.71978,0.97737,0.00101402,0.00101402,0.00101402
90,599.997,1.28782,0.57271,0.89932,0.86813,0.54214,0.52497,0.28347,1.48593,0.72207,0.97936,0.0010093,0.0010093,0.0010093
91,606.978,1.22811,0.55803,0.8974,0.86887,0.53795,0.52223,0.29935,1.44655,0.73165,0.98036,0.00100459,0.00100459,0.00100459
92,613.023,1.26223,0.57305,0.89882,0.85596,0.56372,0.5396,0.30364,1.4559,0.73596,0.97932,0.000999871,0.000999871,0.000999871
93,618.972,1.24514,0.57044,0.90172,0.84578,0.56872,0.53526,0.29247,1.44846,0.73844,0.98135,0.000995156,0.000995156,0.000995156
94,625.936,1.2734,0.57979,0.89985,0.83977,0.55693,0.52855,0.28295,1.47381,0.73941,0.99513,0.00099044,0.00099044,0.00099044
95,631.138,1.25734,0.56168,0.90059,0.86097,0.52917,0.5172,0.27305,1.50852,0.7686,1.00261,0.000985724,0.000985724,0.000985724
96,638.201,1.26648,0.57422,0.89591,0.8379,0.53104,0.5134,0.27388,1.44264,0.76629,0.99012,0.000981008,0.000981008,0.000981008
97,643.724,1.23127,0.56116,0.89229,0.87745,0.53626,0.52868,0.29483,1.40626,0.71623,0.98123,0.000976293,0.000976293,0.000976293
98,649.421,1.24966,0.5598,0.89608,0.8753,0.57663,0.56987,0.31204,1.48141,0.71701,0.99145,0.000971577,0.000971577,0.000971577
99,656.332,1.25148,0.56008,0.89641,0.85502,0.57747,0.56466,0.31743,1.44269,0.71331,0.98672,0.000966861,0.000966861,0.000966861
100,661.908,1.26198,0.56381,0.89778,0.88256,0.54936,0.54315,0.30696,1.45419,0.73029,0.99294,0.000962146,0.000962146,0.000962146
101,669.108,1.19765,0.54783,0.89243,0.87695,0.51536,0.50438,0.28237,1.44275,0.742,0.99818,0.00095743,0.00095743,0.00095743
102,675.549,1.25169,0.56082,0.90005,0.87102,0.53009,0.5149,0.29527,1.37041,0.7431,0.97856,0.000952714,0.000952714,0.000952714
103,681.724,1.21172,0.54805,0.89605,0.87289,0.55454,0.54167,0.31398,1.38282,0.78656,0.98183,0.000947999,0.000947999,0.000947999
104,688.035,1.21857,0.54983,0.89784,0.88542,0.58013,0.56267,0.31763,1.41229,0.76706,0.983,0.000943283,0.000943283,0.000943283
105,693.936,1.19618,0.55358,0.88955,0.89228,0.57617,0.56956,0.31627,1.41228,0.76175,0.97926,0.000938567,0.000938567,0.000938567
106,700.971,1.20605,0.54153,0.8882,0.88354,0.58404,0.56768,0.31672,1.43683,0.74583,0.98283,0.000933851,0.000933851,0.000933851
107,706.685,1.22177,0.54531,0.88863,0.88394,0.55261,0.54022,0.29396,1.48287,0.73226,0.98937,0.000929136,0.000929136,0.000929136
108,713.147,1.22766,0.55006,0.89363,0.86604,0.55641,0.53977,0.29276,1.4788,0.7235,0.9903,0.00092442,0.00092442,0.00092442
109,721.389,1.22954,0.55472,0.89892,0.87209,0.5674,0.55532,0.30336,1.44164,0.72278,0.98651,0.000919704,0.000919704,0.000919704
110,728.576,1.23906,0.56008,0.89813,0.87162,0.58831,0.57195,0.31339,1.42655,0.7231,0.98834,0.000914989,0.000914989,0.000914989
111,734.325,1.22559,0.55892,0.89732,0.89195,0.58418,0.57718,0.31653,1.39217,0.71898,0.98371,0.000910273,0.000910273,0.000910273
112,739.919,1.23671,0.54992,0.89103,0.88643,0.54927,0.54485,0.3032,1.40245,0.71459,0.98616,0.000905557,0.000905557,0.000905557
113,747.668,1.21674,0.54891,0.89507,0.89569,0.51596,0.51225,0.28707,1.42623,0.71829,0.98338,0.000900842,0.000900842,0.000900842
114,753.555,1.20783,0.54425,0.89271,0.87485,0.51092,0.50591,0.28726,1.41758,0.71345,0.97797,0.000896126,0.000896126,0.000896126
115,760.381,1.21467,0.5449,0.89131,0.86943,0.58045,0.56199,0.31349,1.46081,0.71226,0.98947,0.00089141,0.00089141,0.00089141
116,766.255,1.22905,0.54349,0.89195,0.85706,0.57826,0.55448,0.30974,1.42078,0.70818,0.98022,0.000886694,0.000886694,0.000886694
117,772.648,1.18394,0.53672,0.88401,0.86806,0.57023,0.54658,0.30294,1.41248,0.71522,0.97901,0.000881979,0.000881979,0.000881979
118,779.225,1.20053,0.52571,0.88433,0.8844,0.57136,0.55343,0.31017,1.39784,0.71996,0.97857,0.000877263,0.000877263,0.000877263
119,785.034,1.2238,0.53685,0.88662,0.8771,0.56941,0.55479,0.31344,1.39853,0.72391,0.98291,0.000872547,0.000872547,0.000872547
120,791.918,1.23173,0.53768,0.88558,0.86641,0.56004,0.53964,0.30262,1.43242,0.74608,0.99364,0.000867832,0.000867832,0.000867832
121,797.494,1.1939,0.53948,0.88885,0.86889,0.53808,0.51781,0.29511,1.41383,0.72132,0.98346,0.000863116,0.000863116,0.000863116
122,804.235,1.16089,0.53213,0.88617,0.86605,0.53705,0.51494,0.29047,1.4054,0.69745,0.98168,0.0008584,0.0008584,0.0008584
123,810.019,1.19574,0.53125,0.88651,0.8818,0.56321,0.54353,0.31186,1.44777,0.70427,0.99062,0.000853685,0.000853685,0.000853685
124,815.257,1.15614,0.53189,0.88935,0.88605,0.56291,0.55029,0.31084,1.45061,0.70968,0.98431,0.000848969,0.000848969,0.000848969
125,822.411,1.2011,0.53508,0.88768,0.88964,0.56001,0.55818,0.31484,1.45891,0.71682,0.98058,0.000844253,0.000844253,0.000844253
126,827.66,1.19126,0.53441,0.88371,0.8951,0.52157,0.52258,0.31558,1.39302,0.70995,0.97051,0.000839537,0.000839537,0.000839537
127,833.952,1.18146,0.52958,0.88398,0.86015,0.49863,0.48579,0.29255,1.39651,0.71423,0.97641,0.000834822,0.000834822,0.000834822
128,840.19,1.19424,0.53611,0.88349,0.8761,0.49155,0.48297,0.27662,1.52515,0.73531,0.99971,0.000830106,0.000830106,0.000830106
129,845.796,1.21078,0.53309,0.88715,0.88585,0.50957,0.49501,0.27322,1.55846,0.73827,1.00502,0.00082539,0.00082539,0.00082539
130,852.906,1.21383,0.53678,0.88704,0.83891,0.53385,0.51444,0.2843,1.46813,0.7175,0.98705,0.000820675,0.000820675,0.000820675
131,858.214,1.16409,0.52594,0.88161,0.85826,0.55446,0.53022,0.3049,1.45287,0.71921,0.98405,0.000815959,0.000815959,0.000815959
132,864.462,1.18924,0.52617,0.88481,0.88081,0.53597,0.51497,0.29648,1.44794,0.71589,0.97763,0.000811243,0.000811243,0.000811243
133,870.438,1.15406,0.5152,0.87101,0.86684,0.53359,0.5108,0.29633,1.41809,0.71338,0.97622,0.000806528,0.000806528,0.000806528
134,875.932,1.17372,0.5284,0.88086,0.86104,0.54511,0.52404,0.30557,1.41675,0.70879,0.97998,0.000801812,0.000801812,0.000801812
135,882.714,1.13965,0.51686,0.87766,0.86683,0.54441,0.52298,0.30625,1.42597,0.70902,0.982,0.000797096,0.000797096,0.000797096
136,887.613,1.15303,0.51835,0.87521,0.879,0.53871,0.52329,0.30295,1.39926,0.7,0.9764,0.00079238,0.00079238,0.00079238
137,893.684,1.18363,0.53194,0.87934,0.86995,0.54189,0.52045,0.3003,1.38635,0.71216,0.98568,0.000787665,0.000787665,0.000787665
138,900.384,1.18174,0.5328,0.88734,0.89044,0.53165,0.51606,0.30044,1.39397,0.71535,0.98226,0.000782949,0.000782949,0.000782949
139,906.072,1.167,0.51834,0.87828,0.8341,0.56101,0.53319,0.31071,1.41546,0.73382,0.99112,0.000778233,0.000778233,0.000778233
140,912.817,1.1381,0.51675,0.87421,0.85006,0.54915,0.52371,0.30111,1.39753,0.72964,0.98349,0.000773518,0.000773518,0.000773518
141,918.291,1.17266,0.52447,0.87789,0.87434,0.54738,0.52892,0.29721,1.42035,0.74032,0.97962,0.000768802,0.000768802,0.000768802
142,924.971,1.18896,0.52663,0.88072,0.88585,0.55457,0.53116,0.29074,1.45017,0.74566,0.97767,0.000764086,0.000764086,0.000764086
143,931.002,1.16832,0.51831,0.87746,0.89823,0.57689,0.5567,0.30593,1.41481,0.73706,0.97589,0.000759371,0.000759371,0.000759371
144,936.722,1.16364,0.52153,0.87384,0.89677,0.57845,0.56208,0.32251,1.36912,0.7187,0.97209,0.000754655,0.000754655,0.000754655
145,944.163,1.16793,0.52113,0.88152,0.88973,0.56659,0.5478,0.3183,1.37354,0.71135,0.97196,0.000749939,0.000749939,0.000749939
